Date,Open,High,Low,Close,Adj Close,Volume
2008-04-01,50.250000,60.450001,50.160000,53.250000,39.982166,242600
2008-05-01,52.650002,55.240002,52.099998,53.709999,40.327557,1185200
2008-06-01,53.689999,53.770000,48.900002,49.419998,37.106464,409000
2008-07-01,48.810001,50.700001,46.150002,47.860001,35.935146,3255200
2008-08-01,47.799999,48.119999,45.910000,47.060001,35.334484,500000
2008-09-01,46.959999,49.549999,39.450001,41.290001,31.002136,4037400
2008-10-01,41.209999,41.650002,26.639999,33.689999,25.295757,2500800
2008-11-01,33.360001,35.400002,26.200001,30.740000,23.080786,5786200
2008-12-01,30.330000,33.099998,28.000000,32.419998,24.342196,9096800
2009-01-01,32.450001,33.630001,27.700001,28.730000,21.571600,9414900
2009-02-01,28.450001,30.690001,25.799999,25.940001,19.476759,2729600
2009-03-01,25.400000,29.840000,23.670000,28.330000,21.271265,3206600
2009-04-01,28.180000,32.419998,28.030001,31.950001,23.989300,4913300
2009-05-01,31.930000,35.299999,31.799999,35.299999,26.504612,4640800
2009-06-01,36.070000,36.660000,33.160000,34.490002,25.896431,8676400
2009-07-01,34.900002,37.980000,32.650002,37.740002,28.561977,4269200
2009-08-01,38.430000,39.660000,37.000000,38.860001,29.409595,3380900
2009-09-01,38.840000,42.150002,37.680000,40.750000,30.839962,5878100
2009-10-01,40.650002,42.700001,38.990002,39.650002,30.007475,5366600
2009-11-01,40.049999,43.200001,39.560001,41.790001,31.627050,3859800
2009-12-01,42.360001,43.250000,41.439999,42.290001,32.005451,7450400
2010-01-01,43.110001,43.880001,39.950001,40.049999,30.513130,4429100
2010-02-01,40.410000,41.459999,38.689999,40.919998,31.175961,3098300
2010-03-01,41.169998,43.810001,41.090000,43.509998,33.149220,8735900
2010-04-01,44.110001,45.310001,43.080002,43.410000,33.073040,6345200
2010-05-01,43.779999,44.000000,37.340000,39.340000,29.972195,7668000
2010-06-01,39.180000,41.520000,37.570000,37.599998,28.646536,11154000
2010-07-01,37.639999,41.590000,37.110001,41.110001,31.604132,7402700
2010-08-01,41.799999,42.320000,38.750000,39.349998,30.251089,4917900
2010-09-01,40.099998,43.730000,40.049999,43.209999,33.218536,4880700
2010-10-01,43.549999,45.470001,42.939999,44.830002,34.463943,5329700
2010-11-01,45.080002,46.740002,43.520000,43.849998,33.710545,7269200
2010-12-01,44.580002,46.840000,44.580002,46.810001,35.986103,11976200
2011-01-01,47.160000,48.040001,46.139999,47.310001,36.725464,11769400
2011-02-01,47.650002,49.270000,47.430000,48.779999,37.866577,8713100
2011-03-01,49.029999,49.150002,44.900002,48.360001,37.540546,11224300
2011-04-01,48.480000,50.770000,47.330002,50.689999,39.349258,9285200
2011-05-01,50.980000,50.990002,47.590000,49.700001,38.580753,7117700
2011-06-01,49.540001,49.540001,45.799999,48.250000,37.455162,9752300
2011-07-01,48.259998,49.180000,46.639999,47.150002,37.037262,11506400
2011-08-01,47.759998,47.799999,40.110001,43.680000,34.311512,22079100
2011-09-01,43.779999,44.020000,38.369999,39.119999,30.729544,14138800
2011-10-01,38.730000,45.669998,37.090000,43.549999,34.209393,16324200
2011-11-01,41.990002,44.369999,39.410000,43.049999,33.816631,11689900
2011-12-01,42.950001,43.700001,40.709999,42.169998,33.125374,18309900
2012-01-01,42.950001,45.160000,42.330002,44.480000,35.330078,11824800
2012-02-01,44.970001,47.169998,44.950001,46.680000,37.077522,17765900
2012-03-01,46.840000,47.810001,45.230000,47.200001,37.490562,17075900
2012-04-01,47.080002,47.820000,45.070000,46.660000,37.061638,10892000
2012-05-01,46.540001,47.150002,41.880001,42.330002,33.622349,16438700
2012-06-01,41.630001,44.540001,41.060001,43.869999,34.845562,17070000
2012-07-01,44.009998,44.730000,42.360001,44.230000,35.617676,14695100
2012-08-01,44.490002,46.389999,43.439999,45.459999,36.608173,11214200
2012-09-01,45.480000,48.410000,45.139999,46.689999,37.598671,13094200
2012-10-01,47.099998,48.000000,46.189999,46.450001,37.405411,14310100
