Date,Open,High,Low,Close,Adj Close,Volume
2013-12-01,9.560000,9.890000,9.500000,9.890000,6.674630,0
2014-01-01,9.930000,10.240000,9.860000,9.940000,6.708374,0
2014-02-01,9.800000,10.450000,9.800000,10.400000,7.018822,0
2014-03-01,10.190000,10.370000,9.970000,10.140000,6.843350,0
2014-04-01,10.210000,10.390000,10.040000,10.100000,6.816357,0
2014-05-01,10.130000,10.180000,10.040000,10.040000,6.775864,0
2014-06-01,10.050000,10.620000,10.050000,10.620000,7.167297,0
2014-07-01,10.630000,10.750000,10.310000,10.310000,6.958083,0
2014-08-01,10.270000,10.530000,10.160000,10.390000,7.012074,0
2014-09-01,10.300000,10.410000,9.470000,9.470000,6.391176,0
2014-10-01,9.350000,9.350000,8.710000,8.710000,5.878263,0
2014-11-01,8.720000,8.910000,8.470000,8.880000,5.992993,0
2014-12-01,8.450000,8.450000,7.260000,7.870000,5.311357,0
2015-01-01,7.900000,8.110000,7.840000,7.840000,5.349581,0
2015-02-01,7.920000,8.450000,7.920000,8.450000,5.765811,0
2015-03-01,8.380000,8.380000,7.780000,7.780000,5.308640,0
2015-04-01,7.910000,8.780000,7.910000,8.780000,5.990984,0
2015-05-01,8.810000,8.970000,8.520000,8.520000,5.813575,0
2015-06-01,8.490000,8.600000,8.010000,8.010000,5.465579,0
2015-07-01,7.920000,7.980000,7.170000,7.380000,5.035702,0
2015-08-01,7.290000,7.470000,6.830000,7.290000,4.974291,0
2015-09-01,7.040000,7.310000,6.850000,6.970000,4.755941,0
2015-10-01,6.910000,7.930000,6.910000,7.520000,5.131230,0
2015-11-01,7.570000,7.650000,7.180000,7.180000,4.899233,0
2015-12-01,7.250000,7.250000,6.750000,6.860000,4.680882,0
2016-01-01,6.780000,6.780000,5.790000,6.400000,4.402374,0
2016-02-01,6.400000,7.010000,6.210000,6.990000,4.808219,0
2016-03-01,7.100000,7.970000,7.100000,7.800000,5.365395,0
2016-04-01,7.780000,9.040000,7.670000,9.040000,6.218355,0
2016-05-01,9.010000,9.010000,8.480000,8.620000,5.929450,0
2016-06-01,8.620000,9.390000,8.620000,9.390000,6.459110,0
2016-07-01,9.530000,10.020000,9.530000,10.020000,6.892469,0
2016-08-01,9.990000,10.420000,9.990000,10.130000,6.968135,0
2016-09-01,10.140000,10.600000,10.000000,10.350000,7.119466,0
2016-10-01,10.330000,10.330000,9.960000,10.110000,6.954377,0
2016-11-01,10.190000,10.220000,9.840000,10.000000,6.878711,0
2016-12-01,10.010000,10.530000,10.010000,10.090000,6.940619,0
2017-01-01,10.200000,10.990000,10.200000,10.840000,7.708996,0
2017-02-01,10.840000,11.040000,10.430000,10.430000,7.417418,0
2017-03-01,10.510000,10.510000,9.920000,10.390000,7.388972,0
2017-04-01,10.430000,10.480000,10.130000,10.130000,7.204070,0
2017-05-01,10.120000,10.370000,9.950000,9.950000,7.076061,0
2017-06-01,9.930000,10.070000,9.600000,9.840000,6.997833,0
2017-07-01,9.830000,10.320000,9.730000,10.280000,7.310743,0
2017-08-01,10.280000,10.740000,10.210000,10.740000,7.637878,0
2017-09-01,10.790000,11.040000,10.770000,10.770000,7.659214,0
2017-10-01,10.760000,10.970000,10.750000,10.750000,7.644989,0
2017-11-01,10.800000,11.110000,10.740000,10.840000,7.708996,0
2017-12-01,10.890000,10.960000,10.530000,10.530000,7.488533,0
2018-01-01,10.690000,11.130000,10.690000,10.870000,8.072601,0
2018-02-01,10.890000,10.890000,10.410000,10.510000,7.805248,0
2018-03-01,10.540000,10.580000,10.300000,10.440000,7.753262,0
2018-04-01,10.470000,10.560000,10.280000,10.540000,7.827527,0
2018-05-01,10.550000,10.670000,10.230000,10.290000,7.641864,0
2018-06-01,10.320000,10.430000,10.030000,10.160000,7.545320,0
2018-07-01,10.110000,10.240000,9.810000,9.920000,7.367085,0
2018-08-01,9.850000,9.850000,9.110000,9.220000,6.847230,0
2018-09-01,9.140000,9.540000,8.870000,9.540000,7.084877,0
2018-10-01,9.600000,9.820000,9.470000,9.530000,7.077451,0
2018-11-01,9.670000,9.770000,9.380000,9.460000,7.025466,0
2018-12-01,9.590000,9.590000,9.230000,9.340000,6.936348,0
2019-01-01,9.430000,10.040000,9.430000,10.040000,7.475641,0
2019-02-01,10.020000,10.160000,9.900000,10.010000,7.453303,0
2019-03-01,9.930000,10.130000,9.750000,9.790000,7.289494,0
2019-04-01,9.830000,10.070000,9.740000,9.770000,7.274603,0
2019-05-01,9.720000,9.740000,9.440000,9.680000,7.207590,0
2019-06-01,9.870000,10.240000,9.710000,10.200000,7.594775,0
2019-07-01,10.160000,10.310000,10.090000,10.150000,7.557544,0
2019-08-01,10.110000,10.110000,9.660000,9.910000,7.378845,0
2019-09-01,9.930000,10.150000,9.750000,9.750000,7.259710,0
